Date,Heart rate(count/min)
2024-07-01 05:55:10,65.667
2024-07-01 05:57:14,66.000
2024-07-01 06:00:04,64.000
2024-07-01 06:03:39,65.000
2024-07-01 06:08:50,61.000
2024-07-01 06:15:47,64.000
2024-07-01 06:22:41,59.000
2024-07-01 06:28:11,57.000
2024-07-01 06:33:24,60.000
2024-07-01 06:34:49,60.000
2024-07-01 06:39:49,66.000
2024-07-01 06:47:02,58.000
2024-07-01 06:51:53,57.000
2024-07-01 06:55:26,57.000
2024-07-01 06:58:27,59.000
2024-07-01 07:08:20,58.000
2024-07-01 07:09:29,57.000
2024-07-01 07:15:49,67.000
2024-07-01 07:23:11,64.000
2024-07-01 07:24:27,58.000
2024-07-01 07:31:51,58.000
2024-07-01 07:36:51,64.000
2024-07-01 07:41:19,55.000
2024-07-01 07:43:56,56.000
2024-07-01 07:49:53,61.000
2024-07-01 07:54:08,61.000
2024-07-01 08:03:24,63.000
2024-07-01 08:04:02,61.334
2024-07-01 08:05:02,56.000
2024-07-01 08:11:05,64.000
2024-07-01 08:14:22,67.000
2024-07-01 08:20:36,60.000
2024-07-01 08:26:22,72.000
2024-07-01 08:26:26,73.000
2024-07-01 08:26:31,77.000
2024-07-01 08:26:34,77.000
2024-07-01 08:26:42,80.000
2024-07-01 08:26:46,80.000
2024-07-01 08:26:48,82.000
2024-07-01 08:27:31,144.000
2024-07-01 08:27:36,143.000
2024-07-01 08:27:38,144.000
2024-07-01 08:27:46,142.000
2024-07-01 08:27:48,142.000
2024-07-01 08:27:57,145.000
2024-07-01 08:28:02,149.000
2024-07-01 08:28:07,147.000
2024-07-01 08:28:08,147.000
2024-07-01 08:28:17,146.000
2024-07-01 08:28:22,148.000
2024-07-01 08:28:26,147.000
2024-07-01 08:28:28,148.000
2024-07-01 08:28:33,144.000
2024-07-01 08:28:38,146.000
2024-07-01 08:28:47,148.000
2024-07-01 08:28:52,153.000
2024-07-01 08:28:57,155.000
2024-07-01 08:28:59,153.000
2024-07-01 08:29:07,154.000
2024-07-01 08:29:10,152.000
2024-07-01 08:29:16,150.000
2024-07-01 08:29:19,151.000
2024-07-01 08:29:25,154.000
2024-07-01 08:29:32,152.000
2024-07-01 08:29:33,154.000
2024-07-01 08:29:38,153.000
2024-07-01 08:29:44,153.000
2024-07-01 08:29:51,151.000
2024-07-01 08:29:54,152.000
2024-07-01 08:29:58,153.000
2024-07-01 08:30:07,153.000
2024-07-01 08:30:12,151.000
2024-07-01 08:30:17,149.000
2024-07-01 08:30:21,148.000
2024-07-01 08:30:23,147.000
2024-07-01 08:30:28,146.000
2024-07-01 08:30:33,145.000
2024-07-01 08:30:42,145.000
2024-07-01 08:30:43,145.000
2024-07-01 08:30:48,146.000
2024-07-01 08:30:57,150.000
2024-07-01 08:30:58,150.000
2024-07-01 08:31:07,146.000
2024-07-01 08:31:08,146.000
2024-07-01 08:31:17,152.000
2024-07-01 08:31:18,152.000
2024-07-01 08:31:24,151.000
2024-07-01 08:31:30,151.000
2024-07-01 08:31:36,147.000
2024-07-01 08:31:40,146.000
2024-07-01 08:31:44,146.000
2024-07-01 08:31:48,147.000
2024-07-01 08:31:54,148.000
2024-07-01 08:32:01,145.000
2024-07-01 08:32:05,145.000
2024-07-01 08:32:08,144.000
2024-07-01 08:32:17,145.000
2024-07-01 08:32:21,148.000
2024-07-01 08:32:23,148.000
2024-07-01 08:32:28,149.000
2024-07-01 08:32:34,149.000
2024-07-01 08:32:39,149.000
2024-07-01 08:32:46,149.000
2024-07-01 08:32:49,148.000
2024-07-01 08:32:53,149.000
2024-07-01 08:33:02,149.000
2024-07-01 08:33:05,150.000
2024-07-01 08:33:11,152.000
2024-07-01 08:33:15,152.000
2024-07-01 08:33:18,153.000
2024-07-01 08:33:24,150.000
2024-07-01 08:33:28,149.000
2024-07-01 08:33:36,148.000
2024-07-01 08:33:42,149.000
2024-07-01 08:33:47,150.000
2024-07-01 08:33:50,151.000
2024-07-01 08:33:53,152.000
2024-07-01 08:33:58,152.000
2024-07-01 08:34:06,148.000
2024-07-01 08:34:08,148.000
2024-07-01 08:34:13,148.000
2024-07-01 08:34:21,149.000
2024-07-01 08:34:27,148.000
2024-07-01 08:34:28,147.000
2024-07-01 08:34:33,148.000
2024-07-01 08:34:38,150.000
2024-07-01 08:34:47,151.000
2024-07-01 08:34:52,152.000
2024-07-01 08:34:57,152.000
2024-07-01 08:35:02,150.000
2024-07-01 08:35:04,148.000
2024-07-01 08:35:08,145.000
2024-07-01 08:35:15,139.000
2024-07-01 08:35:18,139.000
2024-07-01 08:35:27,130.000
2024-07-01 08:35:32,128.000
2024-07-01 08:35:33,128.000
2024-07-01 08:35:38,126.000
2024-07-01 08:35:46,118.000
2024-07-01 08:35:49,120.000
2024-07-01 08:35:53,121.000
2024-07-01 08:35:58,119.000
2024-07-01 08:36:07,112.000
2024-07-01 08:36:08,113.000
2024-07-01 08:36:13,113.000
2024-07-01 08:36:18,107.000
2024-07-01 08:36:26,112.000
2024-07-01 08:36:28,112.000
2024-07-01 08:36:36,97.000
2024-07-01 08:36:40,104.000
2024-07-01 08:36:46,104.000
2024-07-01 08:36:48,102.000
2024-07-01 08:36:55,108.000
2024-07-01 08:37:02,108.000
2024-07-01 08:37:07,103.000
2024-07-01 08:37:08,103.000
2024-07-01 08:37:17,96.000
2024-07-01 08:37:19,95.000
2024-07-01 08:37:23,99.000
2024-07-01 08:37:28,101.000
2024-07-01 08:37:33,102.000
2024-07-01 08:37:53,107.000
2024-07-01 08:37:56,106.000
2024-07-01 08:37:59,107.000
2024-07-01 08:38:13,98.000
2024-07-01 08:38:18,96.000
2024-07-01 08:38:20,98.000
2024-07-01 08:38:25,96.000
2024-07-01 08:38:33,99.000
2024-07-01 08:38:38,93.000
2024-07-01 08:38:40,93.000
2024-07-01 08:38:48,89.000
2024-07-01 08:38:50,87.000
2024-07-01 08:38:54,92.000
2024-07-01 08:39:01,87.000
2024-07-01 08:39:08,88.000
2024-07-01 08:39:10,88.000
2024-07-01 08:39:14,90.000
2024-07-01 08:39:19,91.000
2024-07-01 08:39:26,86.000
2024-07-01 08:39:29,83.000
2024-07-01 08:39:34,79.000
2024-07-01 08:39:43,85.000
2024-07-01 08:39:45,84.000
2024-07-01 08:39:49,86.000
2024-07-01 08:39:58,87.000
2024-07-01 08:40:02,81.000
2024-07-01 08:40:04,80.000
2024-07-01 08:40:09,83.000
